peak_Q,lag_WSS_Q,lag_WSS_WL,Category
8482.186,-6.5,-19.0,Low
7446.907,-12.25,-24.75,Low
7468.967,1.25,-11.25,Low
7339.11,3.0,-9.5,Low
7357.701,2.0,4.0,Low
7354.58,2.25,5.75,Low
6972.439,0.75,-11.75,Low
6423.023,-1.25,-13.75,Low
6335.003,1.75,14.0,Low
6634.596,3.0,15.25,Low
5882.315,12.5,24.75,Low
22278.33,12.5,24.75,High
21809.01,12.5,24.75,High
22520.01,12.5,14.75,High
38105.76,12.25,24.5,High
17241.87,-2.0,-14.5,Medium
15677.83,0.5,-12.0,Medium
14151.99,-12.25,-24.75,Medium
14905.95,-11.75,0.5,Medium
15981.54,0.0,-4.5,Medium
15637.46,-10.0,-22.5,Medium
15694.26,-9.0,-21.5,Medium
13748.91,-11.25,-23.75,Medium
13915.24,1.75,-10.75,Medium
11164.86,-10.5,-23.0,Medium
11133.87,-11.25,-23.75,Medium
9627.933,-1.0,-13.5,Low
20065.08,7.5,10.25,High
18866.92,12.5,24.75,Medium
35988.3,12.5,17.75,High
35258.06,0.75,-11.75,High
24628.97,1.5,-11.0,High
12156.47,2.5,4.75,Medium
10502.03,1.5,-11.0,Medium
9956.023,3.25,6.25,Low
7973.833,12.5,0.0,Low
7373.552,0.25,10.75,Low
7086.211,12.25,24.25,Low
7257.762,0.5,-2.75,Low
7258.289,0.5,8.25,Low
7067.048,12.5,24.75,Low
6580.569,12.5,24.75,Low
6840.516,-10.25,-6.75,Low
7064.259,4.25,13.25,Low
6877.592,12.5,21.75,Low
7027.18,-9.75,-15.25,Low
7686.893,-11.5,0.75,Low
8690.735,-12.25,0.0,Low
51148.37,11.0,18.0,Extreme
31451.15,-12.0,-24.5,High
34242.06,1.5,3.75,High
33037.7,2.0,5.25,High
16679.37,2.0,-0.5,Medium
15241.03,0.25,-12.25,Medium
37123.66,6.5,11.25,High
16291.74,-2.0,-14.5,Medium
14121.65,12.5,0.0,Medium
11386.47,-8.0,-20.5,Medium
10931.14,7.0,-5.5,Medium
10764.95,-2.0,-14.5,Medium
10678.11,0.5,-12.0,Medium
10175.43,12.0,-0.5,Medium
8807.015,-12.0,0.25,Low
23842.93,6.5,13.25,High
39282.92,10.75,15.25,High
26477.94,1.5,2.5,High
23385.04,12.5,0.0,High
16595.74,12.5,0.0,Medium
16423.47,11.5,-1.0,Medium
29749.04,9.75,22.0,High
29703.49,12.5,24.75,High
29750.23,12.5,14.0,High
20308.95,12.5,0.0,High
19163.74,12.25,-0.25,Medium
18796.75,12.5,0.0,Medium
18176.36,-9.75,-22.25,Medium
18413.71,-2.5,-15.0,Medium
16779.91,12.5,0.0,Medium
16202.28,-11.0,-23.5,Medium
17233.89,2.0,13.75,Medium
17573.6,1.5,5.5,Medium
16511.19,12.5,0.0,Medium
32999.95,12.25,24.5,High
34852.47,4.0,6.5,High
19145.15,0.5,-12.0,Medium
19011.45,-12.0,-13.75,Medium
112057.2,12.5,17.75,Extreme
51608.29,4.0,5.0,Extreme
31815.93,2.0,-10.5,High
30472.37,-11.5,-24.0,High
34026.91,-11.75,-24.25,High
37235.04,3.5,3.25,High
46195.4,11.5,18.25,High
39572.93,-11.5,0.75,High
53902.85,12.5,22.5,Extreme
31991.54,-12.0,-24.5,High
33812.23,1.0,-3.75,High
32129.12,12.5,0.0,High
23059.89,12.5,0.0,High
23230.48,1.0,-11.5,High
20567.6,0.75,-11.75,High
20309.15,-8.0,-20.5,High
20772.68,-10.5,-23.0,High
21222.59,0.5,-12.0,High
21691.34,-12.25,0.0,High
27180.84,2.5,1.25,High
38770.45,5.5,12.25,High
28476.24,0.75,-11.75,High
27649.16,0.0,-12.5,High
33049.97,0.75,-3.5,High
31446.88,-12.25,-24.75,High
34472.28,0.5,1.0,High
32983.48,12.25,-0.25,High
32295.0,-12.0,0.25,High
39239.89,4.25,6.5,High
28501.34,12.5,0.0,High
18291.23,12.5,0.0,Medium
17403.18,12.5,0.0,Medium
16114.6,12.5,0.0,Medium
15120.6,-9.75,-22.25,Medium
15319.88,0.75,-11.75,Medium
13790.63,12.5,0.0,Medium
13871.65,0.75,-11.75,Medium
13253.76,-12.25,-24.75,Medium
23392.84,2.25,6.5,High
25528.41,12.5,12.0,High
13761.21,-0.75,-13.25,Medium
8392.987,5.5,10.75,Low
7440.511,-2.25,-14.75,Low
6707.144,-11.75,-24.25,Low
8992.556,12.5,17.75,Low
9645.775,3.75,7.0,Low
9593.198,-12.25,-24.75,Low
13001.48,6.25,18.5,Medium
12481.96,12.5,14.5,Medium
12099.73,1.75,-10.75,Medium
10157.44,-0.5,-13.0,Medium
9280.856,-11.5,-24.0,Low
9501.72,-10.0,2.25,Low
9706.057,3.5,7.25,Low
10586.63,9.0,14.5,Medium
9883.435,3.75,6.75,Low
8029.244,-11.75,-24.25,Low
8846.379,5.25,10.0,Low
8711.93,0.75,-11.75,Low
9005.811,8.0,15.75,Low
8833.009,1.0,5.5,Low
8407.887,2.25,-10.25,Low
7523.691,-4.0,-16.5,Low
7643.761,3.75,10.0,Low
19338.53,12.5,18.75,Medium
